participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,group.kept,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,ao9kqvqn,Person3,0,1,16,dictator,Introduction,2023-03-27 14:21:12.797378,1,,,0.0,1,,0.0,2,,3,l8ecm1uh,,,,,0
4,d4sq7zio,Person4,0,1,16,dictator,Introduction,2023-03-27 14:21:13.126738,1,,,0.0,2,,0.0,2,,3,l8ecm1uh,,,,,0
5,n38k7owj,,0,0,16,,,,0,,,0.0,1,,0.0,3,,3,l8ecm1uh,,,,,0
6,ft1whkoy,,0,0,16,,,,0,,,0.0,2,,0.0,3,,3,l8ecm1uh,,,,,0
1,7l0hmpcq,Person2,0,17,16,survey,Demographics,2023-03-27 14:22:03.278253,1,,,201.0,1,,45.0,1,45.0,1,qyu3qg0q,,,,,0
2,ia9rnfvc,Person3,0,17,16,survey,Demographics,2023-03-27 14:22:03.285265,1,,,99.0,2,,55.0,1,45.0,1,qyu3qg0q,,,,,0
1,7l0hmpcq,Person2,0,17,16,survey,Demographics,2023-03-27 14:22:03.278253,1,,,201.0,1,,100.0,1,100.0,2,qyu3qg0q,,,,,0
2,ia9rnfvc,Person3,0,17,16,survey,Demographics,2023-03-27 14:22:03.285265,1,,,99.0,2,,0.0,1,100.0,2,qyu3qg0q,,,,,0
1,7l0hmpcq,Person2,0,17,16,survey,Demographics,2023-03-27 14:22:03.278253,1,,,201.0,1,,56.0,1,56.0,3,qyu3qg0q,,,,,0
2,ia9rnfvc,Person3,0,17,16,survey,Demographics,2023-03-27 14:22:03.285265,1,,,99.0,2,,44.0,1,56.0,3,qyu3qg0q,,,,,0
1,sik9o0t0,,0,0,16,,,,0,,,0.0,1,,0.0,1,,1,87k2lr4z,,,,,1
2,z2mym2bh,,0,0,16,,,,0,,,0.0,2,,0.0,1,,1,87k2lr4z,,,,,1
1,sik9o0t0,,0,0,16,,,,0,,,0.0,1,,0.0,1,,2,87k2lr4z,,,,,1
2,z2mym2bh,,0,0,16,,,,0,,,0.0,2,,0.0,1,,2,87k2lr4z,,,,,1
1,sik9o0t0,,0,0,16,,,,0,,,0.0,1,,0.0,1,,3,87k2lr4z,,,,,1
2,z2mym2bh,,0,0,16,,,,0,,,0.0,2,,0.0,1,,3,87k2lr4z,,,,,1
