session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,1,pwg27fum,5,dictator,Results,1683965511,5,4,False
2,1,pwg27fum,6,dictator,Introduction,1683965513,2,5,False
2,1,pwg27fum,7,dictator,Offer,1683965515,2,5,False
2,1,pwg27fum,8,dictator,ResultsWaitPage,1683965527,12,5,False
2,1,pwg27fum,9,dictator,Results,1683965532,5,5,False
2,1,pwg27fum,10,dictator,Introduction,1683965534,2,6,False
2,1,pwg27fum,11,dictator,Offer,1683965537,3,6,False
2,1,pwg27fum,12,dictator,ResultsWaitPage,1683965537,0,6,False
2,1,pwg27fum,13,dictator,Results,1683965539,2,6,False
2,1,pwg27fum,14,chatapp,chat,1683965556,17,2,False
2,1,pwg27fum,15,survey,CognitiveReflectionTest,1683965572,16,2,False
2,1,pwg27fum,16,survey,Offer,1683965573,1,2,False
2,1,pwg27fum,17,survey,Demographics,1683965579,6,2,False
2,2,trua2ysc,1,start,Start,1683965500,7,2,True
2,2,trua2ysc,2,dictator,Introduction,1683965503,3,4,True
2,2,trua2ysc,4,dictator,ResultsWaitPage,1683965506,3,4,False
2,2,trua2ysc,5,dictator,Results,1683965517,11,4,False
2,2,trua2ysc,6,dictator,Introduction,1683965526,9,5,False
2,2,trua2ysc,8,dictator,ResultsWaitPage,1683965527,1,5,False
2,2,trua2ysc,9,dictator,Results,1683965528,1,5,False
2,2,trua2ysc,10,dictator,Introduction,1683965530,2,6,False
2,2,trua2ysc,12,dictator,ResultsWaitPage,1683965537,7,6,False
2,2,trua2ysc,13,dictator,Results,1683965541,4,6,False
2,2,trua2ysc,14,chatapp,chat,1683965554,13,2,False
2,2,trua2ysc,15,survey,CognitiveReflectionTest,1683965561,7,2,False
2,2,trua2ysc,16,survey,Offer,1683965563,2,2,False
2,2,trua2ysc,17,survey,Demographics,1683965567,4,2,False
2,3,gab9azw4,1,start,Start,1683965500,7,2,True
2,3,gab9azw4,2,dictator,Introduction,1683965503,3,4,True
2,3,gab9azw4,3,dictator,Offer,1683965509,6,4,False
2,3,gab9azw4,4,dictator,ResultsWaitPage,1683965509,0,4,False
2,3,gab9azw4,5,dictator,Results,1683965518,9,4,False
2,3,gab9azw4,6,dictator,Introduction,1683965523,5,5,False
2,4,6ox6u8dx,1,start,Start,1683965501,7,2,True
2,4,6ox6u8dx,2,dictator,Introduction,1683965504,3,4,True
2,4,6ox6u8dx,4,dictator,ResultsWaitPage,1683965509,5,4,False
2,4,6ox6u8dx,5,dictator,Results,1683965521,12,4,False
